group,event_label,event_code,epoch_index,event_sample,event_time_s,channel,is_bad,band,power,db
Major,34041,10,0,170848,83.422,CP3,no,beta,2.746840e-13,-125.608
Major,34041,10,0,170848,83.422,CP3,no,gamma,1.388780e-13,-128.567
Major,34041,10,0,170848,83.422,TP7,no,theta,1.208763e-12,-119.176
Major,34041,10,0,170848,83.422,TP7,no,alpha,1.434110e-12,-118.434
Major,34041,10,0,170848,83.422,TP7,no,beta,3.023678e-13,-125.191
Major,34041,10,0,170848,83.422,TP7,no,gamma,1.355637e-13,-128.671
Major,34041,10,0,170848,83.422,F3,no,theta,1.330164e-12,-118.760
Major,34041,10,0,170848,83.422,F3,no,alpha,4.907993e-12,-113.091
Major,34041,10,0,170848,83.422,F3,no,beta,4.894526e-13,-123.101
Major,34041,10,0,170848,83.422,F3,no,gamma,2.249358e-13,-126.475
Major,34041,10,0,170848,83.422,F7,no,theta,1.280422e-12,-118.926
Major,34041,10,0,170848,83.422,F7,no,alpha,5.434174e-12,-112.648
Major,34041,10,0,170848,83.422,F7,no,beta,4.964019e-13,-123.040
Major,34041,10,0,170848,83.422,F7,no,gamma,4.516689e-13,-123.450
Major,34041,10,0,170848,83.422,O2,no,theta,2.223553e-12,-116.529
Major,34041,10,0,170848,83.422,O2,no,alpha,8.424478e-12,-110.744
Major,34041,10,0,170848,83.422,O2,no,beta,6.472428e-13,-121.888
Major,34041,10,0,170848,83.422,O2,no,gamma,4.188179e-13,-123.777
Major,34041,10,0,170848,83.422,O1,no,theta,2.600107e-12,-115.850
Major,34041,10,0,170848,83.422,O1,no,alpha,8.973121e-12,-110.470
Major,34041,10,0,170848,83.422,O1,no,beta,2.139746e-12,-116.696
Major,34041,10,0,170848,83.422,O1,no,gamma,2.428097e-12,-116.147
Major,34041,10,0,170848,83.422,FC4,no,theta,1.848309e-12,-117.332
Major,34041,10,0,170848,83.422,FC4,no,alpha,2.029536e-12,-116.926
Major,34041,10,0,170848,83.422,FC4,no,beta,5.309766e-13,-122.747
Major,34041,10,0,170848,83.422,FC4,no,gamma,3.956358e-13,-124.025
Major,34041,10,0,170848,83.422,FT8,no,theta,1.193597e-12,-119.231
Major,34041,10,0,170848,83.422,FT8,no,alpha,3.377838e-12,-114.713
Major,34041,10,0,170848,83.422,FT8,no,beta,4.235609e-13,-123.729
Major,34041,10,0,170848,83.422,FT8,no,gamma,4.231414e-13,-123.733
Major,34041,10,0,170848,83.422,FC3,no,theta,8.096674e-13,-120.916
Major,34041,10,0,170848,83.422,FC3,no,alpha,2.481948e-12,-116.052
Major,34041,10,0,170848,83.422,FC3,no,beta,4.931073e-13,-123.069
Major,34041,10,0,170848,83.422,FC3,no,gamma,5.768285e-13,-122.388
Major,34041,10,0,170848,83.422,FT7,no,theta,1.166782e-12,-119.329
Major,34041,10,0,170848,83.422,FT7,no,alpha,3.294633e-12,-114.822
Major,34041,10,0,170848,83.422,FT7,no,beta,7.395179e-13,-121.309
Major,34041,10,0,170848,83.422,FT7,no,gamma,8.279759e-13,-120.819
Major,34041,10,0,170848,83.422,FPZ,no,theta,1.857406e-12,-117.310
Major,34041,10,0,170848,83.422,FPZ,no,alpha,7.608905e-12,-111.187
Major,34041,10,0,170848,83.422,FPZ,no,beta,3.433810e-13,-124.639
Major,34041,10,0,170848,83.422,FPZ,no,gamma,1.812879e-13,-127.411
Major,34041,10,0,170848,83.422,OZ,no,theta,2.281311e-12,-116.418
Major,34041,10,0,170848,83.422,OZ,no,alpha,6.018752e-12,-112.205
Major,34041,10,0,170848,83.422,OZ,no,beta,7.226380e-13,-121.409
Major,34041,10,0,170848,83.422,OZ,no,gamma,5.179128e-13,-122.856
Major,34031,7,1,581344,283.859,CZ,no,theta,1.108816e-12,-119.551
Major,34031,7,1,581344,283.859,CZ,no,alpha,2.821887e-12,-115.494
Major,34031,7,1,581344,283.859,CZ,no,beta,1.880747e-13,-127.252
Major,34031,7,1,581344,283.859,CZ,no,gamma,5.338730e-14,-132.708
Major,34031,7,1,581344,283.859,PZ,no,theta,1.415647e-12,-118.490
Major,34031,7,1,581344,283.859,PZ,no,alpha,2.129480e-11,-106.717
Major,34031,7,1,581344,283.859,PZ,no,beta,4.365304e-13,-123.598
Major,34031,7,1,581344,283.859,PZ,no,gamma,6.159773e-14,-132.089
Major,34031,7,1,581344,283.859,CP4,no,theta,5.925309e-13,-122.271
Major,34031,7,1,581344,283.859,CP4,no,alpha,6.505866e-12,-111.867
Major,34031,7,1,581344,283.859,CP4,no,beta,3.114891e-13,-125.062
Major,34031,7,1,581344,283.859,CP4,no,gamma,8.960219e-14,-130.466
Major,34031,7,1,581344,283.859,FZ,no,theta,3.425563e-12,-114.652
Major,34031,7,1,581344,283.859,FZ,no,alpha,5.154752e-12,-112.878
Major,34031,7,1,581344,283.859,FZ,no,beta,5.853439e-13,-122.324
Major,34031,7,1,581344,283.859,FZ,no,gamma,9.660138e-14,-130.140
Major,34031,7,1,581344,283.859,FP2,no,theta,1.910000e-12,-117.189
Major,34031,7,1,581344,283.859,FP2,no,alpha,7.054790e-12,-111.515
Major,34031,7,1,581344,283.859,FP2,no,beta,4.354790e-13,-123.608
Major,34031,7,1,581344,283.859,FP2,no,gamma,8.376498e-14,-130.758
Major,34031,7,1,581344,283.859,F4,no,theta,1.700848e-12,-117.693
Major,34031,7,1,581344,283.859,F4,no,alpha,4.411106e-12,-113.554
Major,34031,7,1,581344,283.859,F4,no,beta,5.079404e-13,-122.940
Major,34031,7,1,581344,283.859,F4,no,gamma,1.121991e-13,-129.492
Major,34031,7,1,581344,283.859,C4,no,theta,6.039197e-13,-122.189
Major,34031,7,1,581344,283.859,C4,no,alpha,2.609170e-12,-115.835
Major,34031,7,1,581344,283.859,C4,no,beta,2.923908e-13,-125.337
Major,34031,7,1,581344,283.859,C4,no,gamma,1.747073e-13,-127.571
Major,34031,7,1,581344,283.859,P4,no,theta,1.000246e-12,-119.998
Major,34031,7,1,581344,283.859,P4,no,alpha,1.682559e-11,-107.740
Major,34031,7,1,581344,283.859,P4,no,beta,4.880492e-13,-123.113
Major,34031,7,1,581344,283.859,P4,no,gamma,7.226059e-14,-131.398
Major,34031,7,1,581344,283.859,TP8,no,theta,1.374357e-12,-118.618
Major,34031,7,1,581344,283.859,TP8,no,alpha,2.921104e-12,-115.344
Major,34031,7,1,581344,283.859,TP8,no,beta,5.757194e-13,-122.396
Major,34031,7,1,581344,283.859,TP8,no,gamma,3.111345e-13,-125.067
Major,34031,7,1,581344,283.859,P8,no,theta,1.658648e-12,-117.802
Major,34031,7,1,581344,283.859,P8,no,alpha,5.503972e-12,-112.593
Major,34031,7,1,581344,283.859,P8,no,beta,5.730723e-13,-122.416
Major,34031,7,1,581344,283.859,P8,no,gamma,2.458590e-13,-126.089
